name,email,cpf,city,state
Mariana Assunção Barros Filho,furtado.miranda@gmail.com,538.068.345-20,Vila Nicole,Pernambuco
Dr. Valentin Fontes,micaela34@ig.com.br,404.626.277-05,Santa Luara,Goiás
João Colaço Matias Neto,luna41@pedrosa.org,521.822.771-45,Michele do Norte,Piauí
Teobaldo Montenegro Sobrinho,yesteves@montenegro.com,991.565.037-09,Ávila do Sul,Amazonas
Dr. Mário Tomás Maldonado,spedrosa@r7.com,992.439.461-53,Vila Adriano do Sul,Minas Gerais
Sra. Micaela Sandoval Gil Jr.,hramires@esteves.com.br,706.427.891-00,Ferreira do Norte,Tocantins
Fátima Fontes Jr.,amelia61@gmail.com,512.844.312-40,Porto Luara,Maranhão
Isabel Norma Leal,francisco.dasneves@desouza.br,102.412.752-45,Santa Giovana,Rio de Janeiro
Srta. Norma Galvão,abril95@gmail.com,491.719.019-30,Colaço do Norte,Mato Grosso do Sul
Miguel Vila,hfranco@lira.net,586.006.849-27,Santa Samanta do Leste,Acre
Manuel Quintana,joao.delatorre@roque.net,116.977.642-66,Vila Camila do Norte,Minas Gerais
Lucas Campos,fontes.sabrina@gmail.com,340.632.679-03,Porto Paulina,Alagoas
Isadora Josefina Padilha Neto,hzambrano@uol.com.br,660.718.964-44,Clara do Norte,Espírito Santo
Anderson Sepúlveda Jr.,felipe35@serra.com,927.784.865-00,Neves do Norte,São Paulo
Evandro Cervantes,brodrigues@hotmail.com,305.064.292-02,Ivana do Norte,Pernambuco
Giovane Lucas Marin,serna.tomas@marin.com,231.600.512-85,Guerra do Leste,Bahia
Dr. Martinho Ian Marin Neto,eestrada@gmail.com,463.770.429-49,Solano do Sul,Santa Catarina
Fábio Ortiz Neves,wteles@oliveira.com,805.964.126-30,Vila Gabriel,Rio de Janeiro
Dr. Horácio Burgos,franco.carla@yahoo.com,402.846.492-79,Carlos do Norte,Piauí
Manuela Manuela Espinoza,mateus45@zamana.br,551.448.509-95,Porto Mário do Leste,Santa Catarina
Simão Santacruz,violeta85@marin.org,077.717.577-07,Rodrigo d'Oeste,Piauí
Srta. Norma Aragão Sobrinho,grego.isadora@azevedo.net,654.134.632-19,Santa Julieta do Norte,Distrito Federal
Nádia Paula Batista,salas.bianca@gmail.com,050.781.634-09,Branco do Sul,Mato Grosso do Sul
Dr. Agostinho Balestero,ortega.irene@uol.com.br,691.075.353-41,Santa Máximo,Mato Grosso do Sul
Sra. Ashley Montenegro,yflores@hotmail.com,149.206.852-70,Vila Hernani,Rio Grande do Sul
Dr. Michele das Dores Saraiva,dante.campos@yahoo.com,279.585.149-05,Porto Clara do Sul,Rio Grande do Sul
Helena Sabrina Sanches,rosa.martinho@ig.com.br,967.858.345-38,Santana do Leste,Distrito Federal
Ian Noel Romero,galhardo.estevao@casanova.com,375.923.943-91,Sabrina d'Oeste,Rio Grande do Norte
Dr. Josefina Helena Carmona,alexandre.aguiar@santacruz.org,441.551.334-40,Valéria do Leste,Espírito Santo
Sra. Olívia Gusmão Leal Filho,noel.toledo@fontes.br,657.705.028-78,Alonso do Norte,Rondônia
Dr. Ivan Oliveira Rivera Filho,martines.diego@dasneves.com.br,285.992.500-78,São Michele do Sul,São Paulo
Sr. Vicente Perez Vega Sobrinho,gusmao.josue@esteves.com,513.852.925-04,Santa Mateus,Amapá
Sofia Dominato,corona.pablo@camacho.net.br,539.947.286-49,Sandoval do Sul,Alagoas
Manuel Solano Sobrinho,urias.paulina@r7.com,920.030.662-41,Teobaldo d'Oeste,Minas Gerais
Sr. Agostinho Matos Ferreira,gil.sabrina@feliciano.com,458.471.613-79,São Ornela do Norte,Rio Grande do Norte
Dr. Júlia Queirós,kevin41@ig.com.br,555.003.024-18,Santa Horácio,Amapá
Madalena Rocha Galindo Jr.,gabriela45@soares.com,396.436.778-85,Ortiz do Norte,Espírito Santo
Sr. Rodrigo Inácio Brito,nserrano@ig.com.br,503.870.440-94,Nicole do Sul,Mato Grosso do Sul
Dr. Francisco Ramires,elias36@hotmail.com,115.063.962-83,Porto Emílio do Norte,Santa Catarina
Gian Pedrosa Jr.,zmascarenhas@espinoza.com,291.235.710-12,Madeira do Norte,Mato Grosso
Dr. Taís Agustina Romero,isabel53@uol.com.br,432.533.497-13,Solano d'Oeste,Piauí
Violeta Campos Urias,daniel.delatorre@pereira.com,256.668.841-90,Vale d'Oeste,Acre
Noel Salas Sobrinho,jaguiar@padilha.br,169.437.401-72,Samanta d'Oeste,Espírito Santo
Sr. Demian Queirós,medina.pedro@terra.com.br,708.833.763-00,Santa Amélia do Leste,Pernambuco
Sofia Joana Carmona Sobrinho,benjamin.santiago@ferminiano.com.br,312.960.047-75,Santa Fernando,Rio Grande do Sul
Dr. Adriana Regina Campos Neto,zestrada@terra.com.br,422.379.098-65,Santa Ivan do Leste,Sergipe
Micaela Delatorre Filho,mario.toledo@cruz.net,570.177.212-84,Caldeira d'Oeste,Bahia
Sr. Pablo Lovato Jr.,rafaela02@serrano.br,281.562.738-85,São Valéria do Leste,Mato Grosso do Sul
Sra. Julieta Meireles Zambrano Neto,wferreira@r7.com,326.878.641-37,São Renata do Norte,Acre
Dr. Malena Serra Delvalle,martinho91@uol.com.br,824.882.358-06,Porto Rafael,Maranhão
Fabiana Verdugo,wgalhardo@valentin.br,801.535.984-84,Paz do Sul,Espírito Santo
Nicole Abreu Galvão Jr.,ferreira.guilherme@salas.com.br,595.382.665-60,Sepúlveda do Norte,Amapá
Ariadna Carrara Paz,simon.solano@rocha.br,860.680.845-82,Santa Natal do Sul,Mato Grosso
Srta. Tessália Verdara Jr.,vpacheco@cervantes.com,076.455.587-17,Julieta do Leste,Mato Grosso do Sul
Dr. Thiago Montenegro Sobrinho,joao48@uol.com.br,584.044.941-50,São Benjamin d'Oeste,São Paulo
Sr. Alonso Antônio Salazar Sobrinho,prado.abril@campos.net.br,458.807.976-00,Espinoza do Norte,Pernambuco
Fabiana Abril Dias Jr.,henrique.cortes@furtado.org,333.720.354-02,Porto Constância,Tocantins
Srta. Abgail Luana de Souza,rvila@r7.com,059.432.718-05,São Vitória,Rondônia
